lhV1,rhV1
1.540655493736267,1.1303932666778564
1.281322956085205,0.9540111422538757
1.3956738710403442,1.2091180086135864
0.8534456491470337,0.8746649026870728
1.9338548183441162,1.7876182794570923
0.8116142153739929,0.8179522752761841
1.4711675643920898,1.414812445640564
1.3048927783966064,1.1968961954116821
1.8247593641281128,1.1959556341171265
1.2992141246795654,1.0774497985839844
2.201528549194336,1.6951816082000732
1.063560962677002,0.9813928604125977
1.3703757524490356,1.1662421226501465
1.5923835039138794,1.3567249774932861
1.9711265563964844,1.4535696506500244
